Postcode,Borough,Neighborhood
M6C,York,Humewood-Cedarvale
M6E,York,Caledonia-Fairbanks
M9N,York,Weston
M1G,Scarborough,Woburn
M1H,Scarborough,Cedarbrae
M1J,Scarborough,Scarborough Village
M1S,Scarborough,Agincourt
M1W,Scarborough,L'Amoreaux West
M1X,Scarborough,Upper Rouge
M3A,North York,Parkwoods
M4A,North York,Victoria Village
M3B,North York,Don Mills North
M6B,North York,Glencairn
M2H,North York,Hillcrest Village
M2K,North York,Bayview Village
M3L,North York,Downsview West
M9L,North York,Humber Summit
M3M,North York,Downsview Central
M2N,North York,Willowdale South
M3N,North York,Downsview Northwest
M2P,North York,York Mills West
M2R,North York,Willowdale West
M7R,Mississauga,Canada Post Gateway Processing Centre
M9P,Etobicoke,Westmount
M9W,Etobicoke,Northwest
M4C,East York,Woodbine Heights
M4G,East York,Leaside
M4H,East York,Thorncliffe Park
M4J,East York,East Toronto
M4E,East Toronto,The Beaches
M4M,East Toronto,Studio District
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
M5A,Downtown Toronto,Harbourfront
M7A,Downtown Toronto,Queen's Park
M5C,Downtown Toronto,St. James Town
M5E,Downtown Toronto,Berczy Park
M5G,Downtown Toronto,Central Bay Street
M6G,Downtown Toronto,Christie
M4W,Downtown Toronto,Rosedale
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
M4Y,Downtown Toronto,Church and Wellesley
M4N,Central Toronto,Lawrence Park
M5N,Central Toronto,Roselawn
M4P,Central Toronto,Davisville North
M4R,Central Toronto,North Toronto West
M4S,Central Toronto,Davisville
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara"
M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West"
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park"
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor"
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips"
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East"
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West"
M2J,North York,"Fairview, Henry Farm, Oriole"
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
M6L,North York,"Downsview, North Park, Upwood Park"
M1E,Scarborough,"Guildwood, Morningside, West Hill"
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park"
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village"
M5H,Downtown Toronto,"Adelaide, King, Richmond"
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter"
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto"
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station"
M2M,North York,"Newtonbrook, Willowdale"
M1R,Scarborough,"Maryvale, Wexford"
M5B,Downtown Toronto,"Ryerson, Garden District"
M6A,North York,"Lawrence Heights, Lawrence Manor"
M9M,North York,"Emery, Humberlea"
M3K,North York,"CFB Toronto, Downsview East"
M5X,Downtown Toronto,"First Canadian Place, Underground city"
M2L,North York,"Silver Hills, York Mills"
M6N,York,"The Junction North, Runnymede"
M4L,East Toronto,"The Beaches West, India Bazaar"
M1B,Scarborough,"Rouge, Malvern"
M4K,East Toronto,"The Danforth West, Riverdale"
M1N,Scarborough,"Birch Cliff, Cliffside West"
M6R,West Toronto,"Parkdale, Roncesvalles"
M6J,West Toronto,"Little Portugal, Trinity"
M5S,Downtown Toronto,"Harbord, University of Toronto"
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
M3C,North York,"Flemingdon Park, Don Mills South"
M5M,North York,"Bedford Park, Lawrence Manor East"
M6P,West Toronto,"High Park, The Junction South"
M3J,North York,"Northwood Park, York University"
M4B,East York,"Woodbine Gardens, Parkview Hill"
M6S,West Toronto,"Runnymede, Swansea"
M5P,Central Toronto,"Forest Hill North, Forest Hill West"
M4X,Downtown Toronto,"Cabbagetown, St. James Town"
M4T,Central Toronto,"Moore Park, Summerhill East"
M8W,Etobicoke,"Alderwood, Long Branch"
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
M6H,West Toronto,"Dovercourt Village, Dufferin"
M9A,Queen's Park,Queen's Park
