
Postcode,Borough,Neighborhood
M6C,York,Humewood-Cedarvale
M6E,York,Caledonia-Fairbanks
M6M,York,Del Ray
M6M,York,Keelesdale
M6M,York,Mount Dennis
M6M,York,Silverthorn
M6N,York,The Junction North
M6N,York,Runnymede
M9N,York,Weston
M6H,West Toronto,Dovercourt Village
M6H,West Toronto,Dufferin
M6J,West Toronto,Little Portugal
M6J,West Toronto,Trinity
M6K,West Toronto,Brockton
M6K,West Toronto,Exhibition Place
M6K,West Toronto,Parkdale Village
M6P,West Toronto,High Park
M6P,West Toronto,The Junction South
M6R,West Toronto,Parkdale
M6R,West Toronto,Roncesvalles
M6S,West Toronto,Runnymede
M6S,West Toronto,Swansea
M1B,Scarborough,Rouge
M1B,Scarborough,Malvern
M1C,Scarborough,Highland Creek
M1C,Scarborough,Rouge Hill
M1C,Scarborough,Port Union
M1E,Scarborough,Guildwood
M1E,Scarborough,Morningside
M1E,Scarborough,West Hill
M1G,Scarborough,Woburn
M1H,Scarborough,Cedarbrae
M1J,Scarborough,Scarborough Village
M1K,Scarborough,East Birchmount Park
M1K,Scarborough,Ionview
M1K,Scarborough,Kennedy Park
M1L,Scarborough,Clairlea
M1L,Scarborough,Golden Mile
M1L,Scarborough,Oakridge
M1M,Scarborough,Cliffcrest
M1M,Scarborough,Cliffside
M1M,Scarborough,Scarborough Village West
M1N,Scarborough,Birch Cliff
M1N,Scarborough,Cliffside West
M1P,Scarborough,Dorset Park
M1P,Scarborough,Scarborough Town Centre
M1P,Scarborough,Wexford Heights
M1R,Scarborough,Maryvale
M1R,Scarborough,Wexford
M1S,Scarborough,Agincourt
M1T,Scarborough,Clarks Corners
M1T,Scarborough,Sullivan
M1T,Scarborough,Tam O'Shanter
M1V,Scarborough,Agincourt North
M1V,Scarborough,L'Amoreaux East
M1V,Scarborough,Milliken
M1V,Scarborough,Steeles East
M1W,Scarborough,L'Amoreaux West
M1X,Scarborough,Upper Rouge
M9A,Queen's Park,Not assigned
M1A,Not assigned,Not assigned
M2A,Not assigned,Not assigned
M8A,Not assigned,Not assigned
M2B,Not assigned,Not assigned
M7B,Not assigned,Not assigned
M8B,Not assigned,Not assigned
M2C,Not assigned,Not assigned
M7C,Not assigned,Not assigned
M8C,Not assigned,Not assigned
M2E,Not assigned,Not assigned
M3E,Not assigned,Not assigned
M7E,Not assigned,Not assigned
M8E,Not assigned,Not assigned
M9E,Not assigned,Not assigned
M2G,Not assigned,Not assigned
M3G,Not assigned,Not assigned
M7G,Not assigned,Not assigned
M8G,Not assigned,Not assigned
M9G,Not assigned,Not assigned
M7H,Not assigned,Not assigned
M8H,Not assigned,Not assigned
M9H,Not assigned,Not assigned
M7J,Not assigned,Not assigned
M8J,Not assigned,Not assigned
M9J,Not assigned,Not assigned
M7K,Not assigned,Not assigned
M8K,Not assigned,Not assigned
M9K,Not assigned,Not assigned
M7L,Not assigned,Not assigned
M8L,Not assigned,Not assigned
M7M,Not assigned,Not assigned
M8M,Not assigned,Not assigned
M7N,Not assigned,Not assigned
M8N,Not assigned,Not assigned
M3P,Not assigned,Not assigned
M7P,Not assigned,Not assigned
M8P,Not assigned,Not assigned
M3R,Not assigned,Not assigned
M8R,Not assigned,Not assigned
M2S,Not assigned,Not assigned
M3S,Not assigned,Not assigned
M7S,Not assigned,Not assigned
M8S,Not assigned,Not assigned
M9S,Not assigned,Not assigned
M2T,Not assigned,Not assigned
M3T,Not assigned,Not assigned
M6T,Not assigned,Not assigned
M7T,Not assigned,Not assigned
M8T,Not assigned,Not assigned
M9T,Not assigned,Not assigned
M2V,Not assigned,Not assigned
M3V,Not assigned,Not assigned
M6V,Not assigned,Not assigned
M7V,Not assigned,Not assigned
M2W,Not assigned,Not assigned
M3W,Not assigned,Not assigned
M6W,Not assigned,Not assigned
M7W,Not assigned,Not assigned
M2X,Not assigned,Not assigned
M3X,Not assigned,Not assigned
M6X,Not assigned,Not assigned
M7X,Not assigned,Not assigned
M9X,Not assigned,Not assigned
M1Y,Not assigned,Not assigned
M2Y,Not assigned,Not assigned
M3Y,Not assigned,Not assigned
M5Y,Not assigned,Not assigned
M6Y,Not assigned,Not assigned
M9Y,Not assigned,Not assigned
M1Z,Not assigned,Not assigned
M2Z,Not assigned,Not assigned
M3Z,Not assigned,Not assigned
M4Z,Not assigned,Not assigned
M5Z,Not assigned,Not assigned
M6Z,Not assigned,Not assigned
M7Z,Not assigned,Not assigned
M9Z,Not assigned,Not assigned
M3A,North York,Parkwoods
M4A,North York,Victoria Village
M6A,North York,Lawrence Heights
M6A,North York,Lawrence Manor
M3B,North York,Don Mills North
M6B,North York,Glencairn
M3C,North York,Flemingdon Park
M3C,North York,Don Mills South
M2H,North York,Hillcrest Village
M3H,North York,Bathurst Manor
M3H,North York,Downsview North
M3H,North York,Wilson Heights
M2J,North York,Fairview
M2J,North York,Henry Farm
M2J,North York,Oriole
M3J,North York,Northwood Park
M3J,North York,York University
M2K,North York,Bayview Village
M3K,North York,CFB Toronto
M3K,North York,Downsview East
M2L,North York,Silver Hills
M2L,North York,York Mills
M3L,North York,Downsview West
M6L,North York,Downsview
M6L,North York,North Park
M6L,North York,Upwood Park
M9L,North York,Humber Summit
M2M,North York,Newtonbrook
M2M,North York,Willowdale
M3M,North York,Downsview Central
M5M,North York,Bedford Park
M5M,North York,Lawrence Manor East
M9M,North York,Emery
M9M,North York,Humberlea
M2N,North York,Willowdale South
M3N,North York,Downsview Northwest
M2P,North York,York Mills West
M2R,North York,Willowdale West
M7R,Mississauga,Canada Post Gateway Processing Centre
M9B,Etobicoke,Cloverdale
M9B,Etobicoke,Islington
M9B,Etobicoke,Martin Grove
M9B,Etobicoke,Princess Gardens
M9B,Etobicoke,West Deane Park
M9C,Etobicoke,Bloordale Gardens
M9C,Etobicoke,Eringate
M9C,Etobicoke,Markland Wood
M9C,Etobicoke,Old Burnhamthorpe
M9P,Etobicoke,Westmount
M9R,Etobicoke,Kingsview Village
M9R,Etobicoke,Martin Grove Gardens
M9R,Etobicoke,Richview Gardens
M9R,Etobicoke,St. Phillips
M8V,Etobicoke,Humber Bay Shores
M8V,Etobicoke,Mimico South
M8V,Etobicoke,New Toronto
M9V,Etobicoke,Albion Gardens
M9V,Etobicoke,Beaumond Heights
M9V,Etobicoke,Humbergate
M9V,Etobicoke,Jamestown
M9V,Etobicoke,Mount Olive
M9V,Etobicoke,Silverstone
M9V,Etobicoke,South Steeles
M9V,Etobicoke,Thistletown
M8W,Etobicoke,Alderwood
M8W,Etobicoke,Long Branch
M9W,Etobicoke,Northwest
M8X,Etobicoke,The Kingsway
M8X,Etobicoke,Montgomery Road
M8X,Etobicoke,Old Mill North
M8Y,Etobicoke,Humber Bay
M8Y,Etobicoke,King's Mill Park
M8Y,Etobicoke,Kingsway Park South East
M8Y,Etobicoke,Mimico NE
M8Y,Etobicoke,Old Mill South
M8Y,Etobicoke,The Queensway East
M8Y,Etobicoke,Royal York South East
M8Y,Etobicoke,Sunnylea
M8Z,Etobicoke,Kingsway Park South West
M8Z,Etobicoke,Mimico NW
M8Z,Etobicoke,The Queensway West
M8Z,Etobicoke,Royal York South West
M8Z,Etobicoke,South of Bloor
M4B,East York,Woodbine Gardens
M4B,East York,Parkview Hill
M4C,East York,Woodbine Heights
M4G,East York,Leaside
M4H,East York,Thorncliffe Park
M4J,East York,East Toronto
M4E,East Toronto,The Beaches
M4K,East Toronto,The Danforth West
M4K,East Toronto,Riverdale
M4L,East Toronto,The Beaches West
M4L,East Toronto,India Bazaar
M4M,East Toronto,Studio District
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
M5A,Downtown Toronto,Harbourfront
M7A,Downtown Toronto,Queen's Park
M5B,Downtown Toronto,Ryerson
M5B,Downtown Toronto,Garden District
M5C,Downtown Toronto,St. James Town
M5E,Downtown Toronto,Berczy Park
M5G,Downtown Toronto,Central Bay Street
M6G,Downtown Toronto,Christie
M5H,Downtown Toronto,Adelaide
M5H,Downtown Toronto,King
